Time,VoltageFL,VoltageFR,VoltageBL,VoltageBR
112,1.43357,-2.97495,-2.97495,1.43357
113,1.41616,-2.97454,-2.97454,1.41616
114,1.39927,-2.97413,-2.97413,1.39927
115,1.38289,-2.97371,-2.97371,1.38289
116,1.36701,-2.9733,-2.9733,1.36701
117,1.3516,-2.97289,-2.97289,1.3516
118,1.33667,-2.97247,-2.97247,1.33667
119,1.32218,-2.97206,-2.97206,1.32218
120,1.30814,-2.97165,-2.97165,1.30814
121,1.29451,-2.97123,-2.97123,1.29451
122,1.2813,-2.97082,-2.97082,1.2813
123,1.26849,-2.97041,-2.97041,1.26849
124,1.25606,-2.97,-2.97,1.25606
125,1.24401,-2.96959,-2.96959,1.24401
126,1.23232,-2.96918,-2.96918,1.23232
127,1.22099,-2.96877,-2.96877,1.22099
128,1.20999,-2.96837,-2.96837,1.20999
129,1.19933,-2.96796,-2.96796,1.19933
130,1.18898,-2.96756,-2.96756,1.18898
131,1.17895,-2.96716,-2.96716,1.17895
132,1.16921,-2.96676,-2.96676,1.16921
133,1.15977,-2.96636,-2.96636,1.15977
134,1.15062,-2.96596,-2.96596,1.15062
135,1.14173,-2.96557,-2.96557,1.14173
136,1.13312,-2.96518,-2.96518,1.13312
137,1.12476,-2.96479,-2.96479,1.12476
138,1.11665,-2.9644,-2.9644,1.11665
139,1.10878,-2.96401,-2.96401,1.10878
140,1.10114,-2.96363,-2.96363,1.10114
141,1.09374,-2.96324,-2.96324,1.09374
142,1.08655,-2.96286,-2.96286,1.08655
143,1.07958,-2.96249,-2.96249,1.07958
144,1.07282,-2.96211,-2.96211,1.07282
145,1.06625,-2.96174,-2.96174,1.06625
146,1.05988,-2.96137,-2.96137,1.05988
147,1.0537,-2.961,-2.961,1.0537
148,1.0477,-2.96063,-2.96063,1.0477
149,1.04188,-2.96027,-2.96027,1.04188
150,1.03623,-2.95991,-2.95991,1.03623
151,1.03075,-2.95955,-2.95955,1.03075
152,1.02543,-2.95919,-2.95919,1.02543
153,1.02026,-2.95883,-2.95883,1.02026
154,1.01525,-2.95848,-2.95848,1.01525
155,1.01038,-2.95813,-2.95813,1.01038
156,1.00566,-2.95778,-2.95778,1.00566
157,1.00107,-2.95743,-2.95743,1.00107
158,0.996615,-2.95709,-2.95709,0.996615
159,0.992291,-2.95675,-2.95675,0.992291
160,0.984841,-2.95641,-2.95641,0.984841
161,0.9732,-2.95603,-2.95603,0.9732
162,0.956728,-2.9556,-2.9556,0.956728
163,0.934156,-2.95507,-2.95507,0.934156
164,0.903764,-2.95442,-2.95442,0.903764
165,0.863328,-2.9536,-2.9536,0.863328
166,0.809988,-2.95253,-2.95253,0.809988
